c,replicate,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.3999999999999999,6,1.9721716960772209,2.0041991247791793,1.0162396756659997,0.23955170001416728,0.2527547156511795,0.4801093075077586,0.5065707798919044,0.7146403216998461,0.7942191110962253
-0.3999999999999999,7,1.9994663600449067,1.9759567781463392,0.9882420718005781,0.25357944208381517,0.24956931626500978,0.5010620173840816,0.4931381820911935,0.704328940224098,0.7979220604552638
-0.3999999999999999,8,2.0045145842158334,2.0342582699800804,1.014838348395396,0.25429607426361317,0.24512701329195052,0.5173038920942238,0.49865165398466743,0.6996074582924435,0.7987508440243078
-0.3999999999999999,9,2.0065278831695497,2.024841309174092,1.0091269232579085,0.2474546868773083,0.25107135819042964,0.5010564721379139,0.5083796576144269,0.7057188244638603,0.7958869239013934
-0.3999999999999999,10,2.008891084537405,1.9667459412335389,0.9790206927452362,0.2495488253535334,0.2530904246784466,0.49079913940365905,0.4977645655014075,0.7075462268865568,0.7973657885961988
-0.3999999999999999,11,2.021071156160533,1.9981375367646028,0.9886527402431997,0.24930853423283436,0.25355566407280544,0.4981527404863893,0.5066390900431486,0.707160934941194,0.7952360213072465
-0.3999999999999999,12,2.006287483680934,1.9535123313309237,0.9736951195781854,0.2543428788580302,0.2532731711952555,0.49686195023536933,0.49477226312521977,0.7064220183486238,0.7958689362847339
-0.3999999999999999,13,1.991442707675429,2.01557442218792,1.012117704626642,0.24121105876321752,0.2484473050262211,0.4861788403920086,0.5007640332723715,0.7114154338264694,0.798779674579888
-0.3999999999999999,14,1.995647314026638,1.983168030395971,0.9937467489656339,0.2515925897218118,0.24704686068921328,0.4989503806208271,0.4899354361285349,0.7056674565560821,0.7995898332436794
-0.3999999999999999,15,2.0251454406744567,2.010652349722931,0.9928434320516264,0.2464148625151902,0.25594380745267714,0.49545462232282017,0.5146140178517588,0.7079800498753117,0.7937228714524207
-0.3999999999999999,16,2.0031344054080926,2.0069972015135806,1.001928375896824,0.2536324663089215,0.2466386095531652,0.509039650094993,0.49500299915840323,0.702986834348595,0.7985427067872082
-0.3999999999999999,17,1.9968358487518347,2.026471031235574,1.0148410709384366,0.2484679036604398,0.252496045881266,0.5035130089597127,0.5116759224799139,0.7035545612726821,0.7945457587418437
-0.3999999999999999,18,1.9917105358948266,1.9900642779195583,0.999173445164044,0.25247652558700157,0.24785177453711177,0.5024445145839351,0.4932409627252785,0.7041586502885896,0.7984123246661509
-0.3999999999999999,19,1.9983182424879486,2.0081547371591704,1.004922386465819,0.24632262270018174,0.24637995966044585,0.49465394164484094,0.4947690831332096,0.7081885856079404,0.8
-0.29999999999999993,0,2.0188379512447536,1.9972555769169118,0.9893095063352981,0.2533551208461407,0.25220245253805523,0.5060149280504127,0.5037127548437536,0.7169165885660731,0.7878925331472435
-0.29999999999999993,1,1.9997242420279682,2.001387930060634,1.0008319587259584,0.25337886751296707,0.2499876743952497,0.5071094071728848,0.5003223141985805,0.71646597591711,0.7882690557849793
-0.29999999999999993,2,1.993607932973637,1.992401231994877,0.9993947149994733,0.25250364786726515,0.2517241097727699,0.5030885790939397,0.5015354264340803,0.7178661439372724,0.7869391754742073
-0.29999999999999993,3,1.9953619929868944,1.9859190394074413,0.9952675486389726,0.2516898066933868,0.2487216409571677,0.4998355791371753,0.493941042289501,0.7191473448017951,0.790023769574944
-0.29999999999999993,4,1.9849586931115928,2.0388440351970707,1.0271468329655808,0.24057024457343923,0.24685893334950323,0.490485208194457,0.5033068637947459,0.7259408350496162,0.7893560553149881
-0.29999999999999993,5,2.020076052340152,1.9728228146803886,0.9766081887832772,0.2500376350716015,0.2560267927011653,0.49327995099798466,0.5050954978103053,0.7214110776186887,0.7865336484983315
-0.29999999999999993,6,1.9946821162833568,1.984100008931027,0.9946948402124108,0.24614434022584686,0.2606037435316562,0.4883749876404245,0.5170638898686182,0.7232256543268097,0.7814551137350234
-0.29999999999999993,7,2.003714766266346,2.0271362272312157,1.0116890194947818,0.25271198872577955,0.2468365391004031,0.5122816274016743,0.5003712906148016,0.7151051625239006,0.7900339671534125
-0.29999999999999993,8,2.004625381136745,1.9776572442222122,0.9865470440670364,0.24610270296861844,0.25616320970755696,0.4867067933485556,0.5066030273813638,0.7253355862198442,0.785111870077368
-0.29999999999999993,9,1.996709713059929,1.9968055957881772,1.0000480203645132,0.2533779941351201,0.250577239629474,0.5059465965385918,0.5003540342692886,0.7145947979869244,0.7891019172552977
-0.29999999999999993,10,1.9846745987789083,2.008914300731322,1.0122134389019375,0.25208305330568437,0.24725022185507134,0.5064132507578054,0.49670450654364484,0.7156225143873111,0.7901631327068851
-0.29999999999999993,11,1.9924186925923997,2.005490235699658,1.0065606406704861,0.24487221115663055,0.24622263186217694,0.4910888284688074,0.49379708400786737,0.7256253784879116,0.7906984894683349
-0.29999999999999993,12,2.0058076848923774,2.0009453999346545,0.9975758967350932,0.24795846258591275,0.24666735679603216,0.4961513450861513,0.4935679128950607,0.7219854834933271,0.791831035084657
-0.29999999999999993,13,2.0148437408140354,2.0468992305743825,1.0159096654053164,0.25242112288454205,0.2428274671175128,0.5166806022130908,0.4970433556051631,0.716491747191271,0.7917944379824469
