tauN,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.92,13,0.4605539424798839,0.25234795997749526,0.9186196759002248,0.5033325737272017,0.5625274243089075,0.7574906742609603
-0.92,14,0.4647610867386582,0.24734181086783866,0.9201341585385326,0.489687401781663,0.55795802970573,0.760356812793828
-0.92,15,0.4550058166616568,0.247247215216883,0.9249688796792317,0.5026221012753095,0.559621248595731,0.7592917530706652
-0.92,16,0.4580946400892242,0.24867185159282196,0.9140880241903038,0.49620305849890267,0.5604625020073872,0.7612386417981827
-0.92,17,0.4639982128178263,0.2491664517463868,0.9254956433582299,0.49698998658179766,0.5578599578042276,0.7573857470155553
-0.92,18,0.45766769605362434,0.24801324044180703,0.9216557018761843,0.49945149977812237,0.5597891205367841,0.7591138530566461
-0.92,19,0.4596954661406105,0.2476267600889447,0.9300297539042272,0.5009843944712272,0.5582165808486009,0.7589690143103379
-0.8475,0,0.42087596364316365,0.2487555101137082,0.841549566831564,0.4973914166327712,0.5957633542107152,0.7579914169975535
-0.8475,1,0.4285879325298104,0.251614457379607,0.8386546338217601,0.49235551120720805,0.5913987106074561,0.7590602149678347
-0.8475,2,0.424527185468307,0.24935118819134158,0.8581614540839471,0.5040515320586378,0.5902296317076103,0.7581746316924183
-0.8475,3,0.4276011114475571,0.24754713128509198,0.8562162413015334,0.49568129880760065,0.5883526922923402,0.7586082494889165
-0.8475,4,0.4231848070473098,0.25383157884887153,0.849956169735421,0.5098144189570637,0.5936726052568507,0.7542257470159417
-0.8475,5,0.42191906020531145,0.246325951935211,0.8560057071808537,0.4997556180104585,0.5920847491505097,0.760176105663398
-0.8475,6,0.4327079503996508,0.2506514023261291,0.8524390825173122,0.49378582305506813,0.5891417451050479,0.7568993997018654
